"","rowname","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"43","beta_with_head[1]",-1.72336900335926,0.0131553347533086,1.31865135658642,-4.58832558659491,-2.36775047750211,-1.67539128530394,-0.989177630425869,0.847561060993543,10047.4571887784,1.00012135453851
"44","beta_with_head[2]",-2.30173298452111,0.0207246188911769,1.23710650711833,-5.45341296142625,-2.82918043461928,-2.08991160321279,-1.50752356388346,-0.525627190156492,3563.20719463728,1.0012452964501
"45","beta_with_head[3]",-1.44327891066663,0.0116136301590166,1.02168077245375,-3.38470518536706,-2.07590788280401,-1.48902621632714,-0.840145766536375,0.756121644659485,7739.17125950272,1.00073858478888
"46","beta_with_head[4]",-1.86208939682412,0.0155221544509303,1.31378069303284,-4.85005543723882,-2.44963070858367,-1.75128256911069,-1.10421755276855,0.374729194833993,7163.77190774661,1.00038878587315
"47","beta_with_head[5]",-2.04972248635761,0.0168653849131883,1.27009522404788,-5.2358566712729,-2.58209468620119,-1.87929449655331,-1.27969188189346,-0.1053872197721,5671.26643836358,1.0010221138842
"48","beta_with_head[6]",-1.95714814127135,0.0159316431535111,1.27563414124068,-4.97973966435232,-2.52035580450689,-1.80906431208442,-1.19584472713008,0.0920263882764332,6411.07899248786,1.00083869268315
"49","beta_with_weak_foot[1]",-0.232226547744874,0.0127404281792789,1.16086736758114,-3.09987224749535,-0.684578831891869,-0.0691840819896997,0.442427520530009,1.61457042041588,8302.27583733981,1.00019066089495
"50","beta_with_weak_foot[2]",0.0572774887806686,0.00426019231083891,0.56013194275155,-1.08952753726668,-0.301414243262049,0.0698223179446615,0.425877782260437,1.12643440360314,17287.1050679469,0.999856100780443
"51","beta_with_weak_foot[3]",0.238634889542722,0.00816019567878529,0.898394583783533,-1.53737415175765,-0.284308009106894,0.208445104837659,0.736072314233798,2.20562365711012,12120.8507551177,1.00005000988179
"52","beta_with_weak_foot[4]",0.0463418401655519,0.0122136204982358,1.29280662750708,-2.78108515910169,-0.517707553490419,0.0744656000434418,0.63945220509103,2.68136846410143,11204.1340626517,1.00025372433936
"53","beta_with_weak_foot[5]",0.690974303861272,0.0143966783484514,0.886705845024542,-0.747102443685027,0.0797478350819184,0.565361078361488,1.19170165480133,2.73601852672885,3793.45152797764,1.00032392917548
"54","beta_with_weak_foot[6]",-0.703946830465675,0.0219326427124347,1.22899315054365,-3.80832702219484,-1.21968431851088,-0.431361039965554,0.106978976940833,0.901794839777115,3139.90853320879,1.00060566395589
"55","mu_alpha",1.53968926600132,0.00918750673092336,0.646250747479256,0.256958330786121,1.11169307228058,1.55166475039556,1.972952957639,2.79415749558212,4947.73893606405,0.999989826978479
"56","sigma_alpha",0.587957998140866,0.0107594902681178,0.504217434783931,0.0224915607664852,0.215571730570508,0.46462339663459,0.81751884570652,1.8725062945476,2196.10106744866,1.00276810261018
"57","mu_beta_dist_goal",-1.33536377936309,0.00415888307921521,0.298921671236939,-1.93872850640007,-1.52771971368083,-1.33082718154016,-1.13750774210704,-0.769221468219844,5166.08302330649,0.99993516804249
"58","sigma_beta_dist_goal",0.242011414275712,0.00521822313397644,0.230378729957136,0.0124503681906473,0.0828193277151721,0.178000381979561,0.327535440844575,0.848787921788774,1949.12399447194,1.00032856790101
"59","mu_beta_dist_keeper",0.699861768686902,0.00460249111148337,0.459658048947013,-0.25125043680935,0.415564457743495,0.709355727124247,0.998062276029285,1.58993624630187,9974.33204500049,1.000314023062
"60","sigma_beta_dist_keeper",0.716592588691839,0.0112419995970285,0.547428635690584,0.03800494165687,0.302499925393306,0.612708118164334,0.996613266863367,2.04525033822212,2371.1983929847,1.00112459430051
"61","mu_beta_angle_goal",-0.317195432603909,0.00314809312847625,0.273270197892561,-0.861341370418017,-0.485054129309977,-0.317304776779513,-0.14762644956689,0.229471017992697,7535.10658427714,0.999979437893975
"62","sigma_beta_angle_goal",0.326373208056962,0.00580422191056925,0.27712954251297,0.0143841596143334,0.119747102860021,0.258831303956449,0.457081518401787,1.02623821626241,2279.69965271692,1.00199230466263
