"","player.name","player.name.GK","possession_team.name","play_pattern.name","shot.statsbomb_xg","shot.first_time","location.x","location.y","DistToGoal","DistToKeeper","AngleToGoal","AngleDeviation","avevelocity","DefendersInCone","InCone.GK","under_pressure","goal","shot.type.name_Free.Kick","shot.type.name_Open.Play","shot.type.name_Penalty","shot.technique.name_Half.Volley","shot.technique.name_Lob","shot.technique.name_Normal","shot.technique.name_Volley","shot.body_part.name_processed_Head","shot.body_part.name_processed_Other","shot.body_part.name_processed_Stronger.Foot","shot.body_part.name_processed_Weaker.Foot"
"57","Thierry Henry","Mark Schwarzer","Arsenal","Regular Play",0.020778637,0,96.1,32.6,2.71404538527288,0.247861308502087,0.974970590976416,1.12384876777078,-0.0107807075981792,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1
"58","Laureano Bisan-Etame Mayer","Mark Schwarzer","Arsenal","Regular Play",0.016708564,0,102,57,2.68578091319318,0.630802066898797,2.45749108695511,0.166830993403669,-0.0370312030561318,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1
"59","Thierry Henry","Mark Schwarzer","Arsenal","From Free Kick",0.0156198535,0,88.1,29.5,3.64307358213814,0.3209706403901,1.03251512811104,0.0702107251939131,-0.055195315050931,4,3,0,0,1,0,0,0,0,1,0,0,0,1,0
"60","Thierry Henry","Mark Schwarzer","Arsenal","From Free Kick",0.09890298,0,100.3,26.1,2.61541438074321,0.247861308502087,1.99520355105389,1.95545692885255,-0.0392477663198682,7,3,0,0,1,0,0,0,0,1,0,0,0,1,0
"61","Fredrik Ljungberg","Mark Schwarzer","Arsenal","From Corner",0.015299054,1,98.5,50.1,2.5767956469237,0.308967462899577,1.42601494711799,1.42616401832526,-0.0237299996885937,5,3,0,0,0,1,0,1,0,0,0,0,0,1,0
"62","Robert Pirès ","Mark Schwarzer","Arsenal","Regular Play",0.35496974,1,106.7,35.4,1.52660882722416,0.440178666378086,1.08122741649462,0.322617654327561,-0.0526439781160547,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
"63","Fredrik Ljungberg","Mark Schwarzer","Arsenal","From Free Kick",0.120782256,1,108.2,50.3,1.69908722792181,0.66008904089747,2.33018759626772,0.975823574159392,-0.0723677180365443,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
"64","Thierry Henry","Mark Schwarzer","Arsenal","Regular Play",0.02107927,0,108.6,50.1,1.6521758019609,0.929448129248779,2.35414371154431,0.658012919609634,-0.0810334464646118,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0
"65","Eduardo César Daude Gaspar","Mark Schwarzer","Arsenal","From Free Kick",0.021527342,0,83.3,60,4.53391240422739,0.326806948248268,1.62017138206041,0.581924802208879,-0.0332568928792857,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"66","Eduardo César Daude Gaspar","Mark Schwarzer","Arsenal","From Keeper",0.07634717,0,103.4,29.3,2.14239964151439,0.633791666902229,1.85912152602113,0.29051132483263,-0.0531879195808156,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0
"67","Thierry Henry","Mark Schwarzer","Arsenal","From Free Kick",0.018222738,0,89,22.1,3.88315208622028,0.52354143459838,1.70032767261247,0.472723615742383,-0.0420910177493036,4,2,0,0,1,0,0,0,0,1,0,0,0,1,0
"68","Thierry Henry","Mark Schwarzer","Arsenal","From Free Kick",0.027817061,0,86.3,43.7,3.67766497592702,0.221693893921087,0.355080525261317,2.89062610307087,-0.0440706364329034,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0
"69","Kolo Habib Touré","Edwin van der Sar","Arsenal","From Corner",0.3446383,1,115.5,39.1,0.497816777641192,0.651441212712397,0.640956279573301,2.74393859488677,-0.079095699789913,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"70","Fredrik Ljungberg","Edwin van der Sar","Arsenal","From Corner",0.30881238,1,108.1,34.3,1.43132985978813,2.46752987793227,1.45046434207175,0.236739685383527,-0.0188068896338955,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"71","Fredrik Ljungberg","Edwin van der Sar","Arsenal","From Counter",0.085569486,0,110.6,51.2,1.58614978366503,0.885175377852951,2.83324451500489,0.909246650252779,-0.0610971826587929,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1
"72","Thierry Henry","Edwin van der Sar","Arsenal","Regular Play",0.04262787,0,100.7,20.8,2.9531638431845,2.84239425377008,2.54180523318262,0.277064055259353,-0.04842396276177,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
